quantity,bin,binBarcode,barcode,shelf,level,productName,productType,sku,option1,option2,option3,lotName,expiration,warehouse,minCost,avgCost,maxCost,price,committed,incoming,velocity,lastReceivedAt,lastReceivedPO
5,BIN-04,1767452692385,5404022088803,Shelf 2,4,Kentucky Horsewear Fly Mask Slim Fit With Ears,Horse Wear > Fly & Insect Control > Fly Masks,42604-32-COB,Size: Cob,Color: Beige,,,,Wellington Warehouse,43.47,43.47,43.47,124.99,0,0,0.05263158,,
6,BIN-04,1767452692385,5404022000980,Shelf 2,4,Kentucky Horsewear Anti Fly Nose Net,Horse Wear > Fly & Insect Control > Fly Masks,42663-05-M,Size: Cob,Color: Brown,,,,Wellington Warehouse,13.03,13.03,13.03,39.99,0,0,,,
2,BIN-03,1777314709513,5407007534845,Shelf 21,3,Kentucky Horsewear Wellington Stone & Pearl Ear Bonnet,Tack & Equipment > Ear Plugs & Bonnets > Bonnets,42614-01-C,Size: Cob,Color: Black,,,,Wellington Warehouse,69.55,69.55,69.55,189.99,0,0,,,
6,BIN-04,1767452692385,5407010746686,Shelf 2,4,Kentucky Horsewear Anti Fly Nose Net,Horse Wear > Fly & Insect Control > Fly Masks,42663-08-F,Size: Full,Color: Gray,,,,Wellington Warehouse,13.03,13.03,13.03,39.99,0,0,,,
1,BIN-03,1777314709513,5425030833667,Shelf 21,3,Kentucky Horsewear Wellington Ear Bonnet,Tack & Equipment > Ear Plugs & Bonnets > Bonnets,42608-33-F,Size: Full,Color: Navy,,,,Wellington Warehouse,52.16,52.16,52.16,149.99,0,0,,,
0,BIN-03,1777314709513,5425030837283,Shelf 21,3,Kentucky Horsewear Wellington Stone & Pearl Soundless Ear Bonnet,Tack & Equipment > Ear Plugs & Bonnets > Bonnets,42615-33-F,Size: Full,Color: Navy,,,,Wellington Warehouse,73.89,73.89,73.89,204.99,0,0,0.032258064,,
6,BIN-04,1767452692385,5404022000997,Shelf 2,4,Kentucky Horsewear Anti Fly Nose Net,Horse Wear > Fly & Insect Control > Fly Masks,42663-08-M,Size: Cob,Color: Gray,,,,Wellington Warehouse,13.03,13.03,13.03,39.99,0,0,,,
1,BIN-03,1777314709513,5425030837290,Shelf 21,3,Kentucky Horsewear Wellington Stone & Pearl Soundless Ear Bonnet,Tack & Equipment > Ear Plugs & Bonnets > Bonnets,42615-05-F,Size: Full,Color: Brown,,,,Wellington Warehouse,73.89,73.89,73.89,204.99,0,0,,,
1,BIN-03,1777314709513,5425030837405,Shelf 21,3,Kentucky Horsewear Wellington Stone & Pearl Long Ear Bonnet,Tack & Equipment > Ear Plugs & Bonnets > Bonnets,42616-08-F,Size: Full,Color: Grey,,,,Wellington Warehouse,69.55,69.55,69.55,189.99,0,0,,,
2,BIN-03,1777314709513,5407007534852,Shelf 21,3,Kentucky Horsewear Wellington Stone & Pearl Ear Bonnet,Tack & Equipment > Ear Plugs & Bonnets > Bonnets,42614-33-C,Size: Cob,Color: Navy,,,,Wellington Warehouse,69.55,69.55,69.55,189.99,0,0,,,
